old_size,old_sizeh,new_size,new_sizeh,dif,idx
12884,12.58 KB,44197,43.16 KB,31313,414
16286,15.9 KB,51283,50.08 KB,34997,415
17520,17.11 KB,48431,47.3 KB,30911,416
13937,13.61 KB,52908,51.67 KB,38971,417
52897,51.66 KB,83521,81.56 KB,30624,418
11561,11.29 KB,-1,-1,-11561,419
37548,36.67 KB,64009,62.51 KB,26461,420
11893,11.61 KB,67092,65.52 KB,55199,421
10589,10.34 KB,29593,28.9 KB,19004,422
12403,12.11 KB,31326,30.59 KB,18923,423
11686,11.41 KB,27179,26.54 KB,15493,424
11122,10.86 KB,29811,29.11 KB,18689,425
13499,13.18 KB,55707,54.4 KB,42208,426
11699,11.42 KB,27031,26.4 KB,15332,427
14417,14.08 KB,47156,46.05 KB,32739,428
16359,15.98 KB,35930,35.09 KB,19571,429
10152,9.91 KB,22269,21.75 KB,12117,430
23155,22.61 KB,22123,21.6 KB,-1032,431
112870,110.22 KB,193502,188.97 KB,80632,432
14443,14.1 KB,615614,601.19 KB,601171,433
63934,62.44 KB,122111,119.25 KB,58177,434
50164,48.99 KB,158663,154.94 KB,108499,435
11170,10.91 KB,23879,23.32 KB,12709,436
11027,10.77 KB,53845,52.58 KB,42818,437
15194,14.84 KB,30915,30.19 KB,15721,438
23976,23.41 KB,41791,40.81 KB,17815,439
28822,28.15 KB,31169,30.44 KB,2347,440
12465,12.17 KB,36988,36.12 KB,24523,441
48832,47.69 KB,57780,56.43 KB,8948,442
13635,13.32 KB,34393,33.59 KB,20758,443
11327,11.06 KB,25847,25.24 KB,14520,444
24539,23.96 KB,35226,34.4 KB,10687,445
13060,12.75 KB,24608,24.03 KB,11548,446
26592,25.97 KB,41070,40.11 KB,14478,447
22928,22.39 KB,88368,86.3 KB,65440,448
29848,29.15 KB,64452,62.94 KB,34604,449
13705,13.38 KB,113479,110.82 KB,99774,450
32541,31.78 KB,53337,52.09 KB,20796,451
18258,17.83 KB,33710,32.92 KB,15452,452
21287,20.79 KB,33922,33.13 KB,12635,453
36282,35.43 KB,95312,93.08 KB,59030,454
22103,21.58 KB,48033,46.91 KB,25930,455
578416,564.86 KB,918648,897.12 KB,340232,456
21790,21.28 KB,36760,35.9 KB,14970,457
23708,23.15 KB,50407,49.23 KB,26699,458
43345,42.33 KB,59434,58.04 KB,16089,459
9541,9.32 KB,25928,25.32 KB,16387,460
17493,17.08 KB,52863,51.62 KB,35370,461
50431,49.25 KB,142275,138.94 KB,91844,462
25786,25.18 KB,104498,102.05 KB,78712,463
11658,11.38 KB,31964,31.21 KB,20306,464
11768,11.49 KB,90201,88.09 KB,78433,465
91596,89.45 KB,131645,128.56 KB,40049,466
10481,10.24 KB,88656,86.58 KB,78175,467
15932,15.56 KB,52837,51.6 KB,36905,468
103139,100.72 KB,116981,114.24 KB,13842,469
23448,22.9 KB,26330,25.71 KB,2882,470
55718,54.41 KB,87484,85.43 KB,31766,471
16389,16 KB,44886,43.83 KB,28497,472
15740,15.37 KB,34260,33.46 KB,18520,473
14046,13.72 KB,72375,70.68 KB,58329,474
14546,14.21 KB,36885,36.02 KB,22339,475
44577,43.53 KB,164490,160.63 KB,119913,476
9738,9.51 KB,29989,29.29 KB,20251,477
23857,23.3 KB,37752,36.87 KB,13895,478
11542,11.27 KB,62750,61.28 KB,51208,479
12626,12.33 KB,23596,23.04 KB,10970,480
24462,23.89 KB,63627,62.14 KB,39165,481
45545,44.48 KB,79345,77.49 KB,33800,482
70869,69.21 KB,160794,157.03 KB,89925,483
196155,191.56 KB,360624,352.17 KB,164469,484
21514,21.01 KB,40014,39.08 KB,18500,485
30116,29.41 KB,57710,56.36 KB,27594,486
13877,13.55 KB,30126,29.42 KB,16249,487
28489,27.82 KB,63445,61.96 KB,34956,488
31368,30.63 KB,83450,81.49 KB,52082,489
37845,36.96 KB,132625,129.52 KB,94780,490
13380,13.07 KB,29851,29.15 KB,16471,491
9384,9.16 KB,22401,21.88 KB,13017,492
11220,10.96 KB,24859,24.28 KB,13639,493
41923,40.94 KB,67587,66 KB,25664,494
17549,17.14 KB,52163,50.94 KB,34614,495
32008,31.26 KB,129429,126.4 KB,97421,496
46612,45.52 KB,120465,117.64 KB,73853,497
13925,13.6 KB,199484,194.81 KB,185559,498
56676,55.35 KB,67457,65.88 KB,10781,499
20426,19.95 KB,66577,65.02 KB,46151,500
9957,9.72 KB,46721,45.63 KB,36764,501
25145,24.56 KB,47201,46.09 KB,22056,502
15049,14.7 KB,28295,27.63 KB,13246,503
87061,85.02 KB,40993,40.03 KB,-46068,504
110012,107.43 KB,-1,-1,-110012,505
12953,12.65 KB,37988,37.1 KB,25035,506
17099,16.7 KB,37399,36.52 KB,20300,507
14697,14.35 KB,46539,45.45 KB,31842,508
59973,58.57 KB,133706,130.57 KB,73733,509
67243,65.67 KB,104245,101.8 KB,37002,510
9470,9.25 KB,22474,21.95 KB,13004,511
11514,11.24 KB,57937,56.58 KB,46423,512
18418,17.99 KB,29649,28.95 KB,11231,513
15490,15.13 KB,-1,-1,-15490,514
17504,17.09 KB,49377,48.22 KB,31873,515
45435,44.37 KB,92986,90.81 KB,47551,516
16515,16.13 KB,32835,32.07 KB,16320,517
8366,8.17 KB,39876,38.94 KB,31510,518
40876,39.92 KB,57718,56.37 KB,16842,519
21718,21.21 KB,41900,40.92 KB,20182,520
28530,27.86 KB,95201,92.97 KB,66671,521
15863,15.49 KB,36583,35.73 KB,20720,522
17144,16.74 KB,33254,32.47 KB,16110,523
11558,11.29 KB,25876,25.27 KB,14318,524
15202,14.85 KB,89000,86.91 KB,73798,525
18916,18.47 KB,45548,44.48 KB,26632,526
12468,12.18 KB,24980,24.39 KB,12512,527
18745,18.31 KB,35361,34.53 KB,16616,528
20181,19.71 KB,47905,46.78 KB,27724,529
19874,19.41 KB,48408,47.27 KB,28534,530
34970,34.15 KB,56625,55.3 KB,21655,531
14211,13.88 KB,42553,41.56 KB,28342,532
12095,11.81 KB,40701,39.75 KB,28606,533
11990,11.71 KB,28216,27.55 KB,16226,534
25550,24.95 KB,72650,70.95 KB,47100,535
33846,33.05 KB,55485,54.18 KB,21639,536
11928,11.65 KB,29346,28.66 KB,17418,537
32628,31.86 KB,56678,55.35 KB,24050,538
9802,9.57 KB,23566,23.01 KB,13764,539
82909,80.97 KB,233399,227.93 KB,150490,540
11271,11.01 KB,116981,114.24 KB,105710,541
9092,8.88 KB,23309,22.76 KB,14217,542
13500,13.18 KB,29360,28.67 KB,15860,543
39477,38.55 KB,80195,78.32 KB,40718,544
13050,12.74 KB,234738,229.24 KB,221688,545
13125,12.82 KB,37993,37.1 KB,24868,546
35402,34.57 KB,44783,43.73 KB,9381,547
53160,51.91 KB,-1,-1,-53160,548
15455,15.09 KB,25420,24.82 KB,9965,549
27433,26.79 KB,91665,89.52 KB,64232,550
54668,53.39 KB,166290,162.39 KB,111622,551
32274,31.52 KB,40428,39.48 KB,8154,552
15878,15.51 KB,45276,44.21 KB,29398,553
28707,28.03 KB,52671,51.44 KB,23964,554
10948,10.69 KB,22748,22.21 KB,11800,555
